Date,Asset,Price,EMA21,ATR,RSI,RSI_Z_Score,ATR_Distance,Pct_Above_EMA,Timeframe
2024-01-03,BTC,42845.23,44121.66636363637,2338.1169333333346,,,-0.5459249473107458,-2.8929921937136087,1d
2024-01-03,CLSK,10.56999969482422,10.851818258112129,1.7938669840494792,,,-0.1571011484094157,-2.5969709092505178,1d
2024-01-03,ETH,2209.72,2339.374545454545,113.93897777777784,,,-1.1379296881829015,-5.542273925586943,1d
2024-01-03,HIVE,4.300000190734863,4.381818077780983,0.6833333969116211,,,-0.1197334820980541,-1.8672132341823264,1d
2024-01-03,HUT,12.329999923706056,12.575454885309393,2.4475998560587566,,,-0.1002839418362204,-1.951857518013743,1d
2024-01-03,IREN,6.539999961853027,6.77636380629106,1.0959998766581218,,,-0.2156604662755467,-3.48806308508106,1d
2024-01-03,MARA,23.440000534057617,22.97636396234686,3.845333480834961,,,0.1205712258823611,2.017884868426332,1d
2024-01-03,MSTR,63.10599899291992,68.02327208085494,4.938067118326823,,,-0.9957890344757296,-7.22880999033708,1d
2024-01-03,NEAR,3.771,3.802570247933884,0.4270533333333334,,,-0.0739257733629314,-0.8302344434277844,1d
2024-01-03,RENDER,4.423,4.704157024793389,0.5040577777777776,,,-0.557787295799534,-5.976778056334921,1d
2024-01-03,RIOT,15.039999961853027,15.376363494179463,1.7813334782918295,,,-0.18882681790104,-2.187536295260996,1d
2024-01-03,RSR,0.00283,0.0032561157024793,0.0003925511111111,,,-1.0855037482207694,-13.086626564125996,1d
2024-01-03,SLNH,3.950000047683716,4.231818394227461,0.8333334604899089,,,-0.3381819642500216,-6.659509465911107,1d
