Asset,Timeframe,Date,Price,EMA21,ATR,RSI,RSI_Z_Score,ATR_Distance,Pct_Above_EMA,High,Low,Volume,Unnamed: 10,Unnamed: 11,Unnamed: 12
IREN,1w,2026-09-07,46.66999816894531,44.10542796262901,9.473974172069765,51.97289517439199,0.0795264739405411,0.2706963476718057,5.81463625857863,42.16999816894531,34.439998626708984,189247725.0,49.29000091552734,46.0099983215332,53936056.0
IREY,1d,2026-09-08,5.583749771118164,5.265089244148945,0.2384133579195109,54.05993559597483,1.127908166918669,1.336588393158741,6.052329071598244,4.889999866485596,4.889999866485596,0.0,5.583749771118164,5.583749771118164,0.0
IREY,1w,2026-09-07,5.293749809265137,7.370279890493538,1.118762686394711,42.52473754704618,,-1.8560952259859151,-28.174372100939976,5.565000057220459,0.0,1993.0,5.293749809265137,5.293749809265137,0.0
JASMY,1d,2026-09-10,0.003930000122636557,0.00434853669121262,0.0003108193500248356,40.32524686519872,-1.783608616533501,-1.3465589209379047,-9.624768014992917,0.0044110519811511,0.0043435529805719,8307858.0,0.00404186500236392,0.003916096407920122,9246738.0
JASMY,1w,2026-09-07,0.0044300002045929,0.0048488887509027,0.0008759753846104,42.26644671126119,0.5882671261043568,-0.4781967092558358,-8.638856608781806,0.0045699998736381,0.0042539997957646,44768505.0,0.0045635476708412,0.0043828026391565,14893940.0
KEEL,1d,2026-09-09,3.815000057220459,3.509005112848135,0.3337440801550117,54.80079650838449,2.495369984025194,0.9168550472272068,8.720276389792968,4.210000038146973,3.849999904632568,34217700.0,3.859999895095825,3.720000028610229,2085521.0
KEEL,1w,2026-09-07,3.815000057220459,3.8672408902403,0.8400299001007324,50.36435637828229,-0.7657617659081185,-0.0621892542319939,-1.35085541611024,4.75,3.849999904632568,140460006.0,3.900000095367432,3.519999980926514,45908721.0
LINK,1d,2026-09-10,11.67899990081787,11.5113285441716,0.6072187341001153,54.67981358955385,-1.769689022636176,0.27613007838889464,1.4565769363881578,8.35232925415039,8.168926239013672,261380384.0,11.87462615966797,11.61450386047363,388656736.0
LINK,1w,2026-09-07,13.06099987030029,10.05320361062625,1.343207144885094,64.88283822171732,2.037699714195606,2.2392646369755163,29.91878386402912,8.604790687561035,7.801345825195312,1291114120.0,13.62405490875244,12.95256328582764,778351040.0
MARA,1d,2026-09-09,12.00500011444092,11.07339331448665,0.8885068809910742,56.72240083784965,1.142745530474459,1.0485082556874752,8.4130200517262,12.25,11.25,44219800.0,12.14999961853027,11.96000003814697,1893367.0
MARA,1w,2026-09-07,12.00500011444092,11.53799317666409,2.173671776978102,51.47510788399879,-0.1032070956878044,0.2148470356578286,4.04755775658946,12.720000267028809,11.25,230221166.0,12.14999961853027,11.0,55324052.0
MARY,1d,2026-09-08,9.291250228881836,9.127199640550003,0.3639736424248546,50.11342749592198,1.009448967562109,0.45072106661048195,1.7973813961841527,10.524999618530272,10.524999618530272,0.0,9.291250228881836,9.291250228881836,0.0
MARY,1w,2026-09-07,8.930000305175781,10.7629801175713,1.355957270867053,48.56277336612094,,-1.3517976206015974,-17.030411580925,11.515000343322754,0.0,1699.0,8.930000305175781,8.930000305175781,0.0
MSTR,1d,2026-09-09,138.3800048828125,122.924750032115,8.349267672273593,62.24561357482293,0.2841014288266787,1.8510910725765333,12.572939824290632,96.61000061035156,93.4499969482422,11258900.0,141.9779968261719,138.0899963378906,2609698.0
MSTR,1w,2026-09-07,136.5200042724609,125.6279742459847,20.95834815553835,51.31493598408803,1.305880138771882,0.5196988782533385,8.67006738893136,101.9499969482422,90.0199966430664,72854300.0,139.3099975585938,135.3800048828125,19793900.0
MSTY,1d,2026-09-10,5.619999885559082,5.697980085513332,0.3733890161452803,50.17040373336984,-0.7137836813954679,-0.20884438637024283,-1.3685586608578768,4.827000141143799,4.815999984741211,231.0,6.267499923706055,5.494999885559082,12309.0
MSTY,1w,2026-09-07,5.900000095367432,6.132913631824644,1.269340304141916,46.06686383880373,1.850417810935281,-0.1780051164805168,-3.797763191194935,5.394999980926514,4.874000072479248,6803.0,6.414999961853027,6.164999961853027,1430.0
NATGAS,1d,2026-09-10,2.782999992370605,2.850978509738626,0.1052907062316455,44.91147763135867,-0.961162859829109,-0.6456269484836048,-2.384392486152172,2.901000022888184,2.845000028610229,6098.0,2.815000057220459,2.766000032424927,55272.0
NATGAS,1w,2026-09-07,2.937000036239624,2.968577390376595,0.3160183431131912,48.8199300910367,0.7005157226467333,-0.0960536910868682,-1.0637200916282972,2.901000022888184,2.845000028610229,6098.0,2.997999906539917,2.921000003814697,27541.0
NDX,1d,2026-09-09,29453.337890625,29370.13200498164,358.5807390982554,51.96108628045729,-0.0864734723538034,0.2320422615353079,0.2833010271429776,29333.060546875,28881.23046875,8294880000.0,29476.36328125,29393.259765625,97478639.0
NDX,1w,2026-09-07,29453.337890625,28689.22220920096,1084.950205077923,57.86510624640856,-0.8289723925515582,0.7042864067380478,2.6634241801751526,29856.939453125,28881.23046875,37398190000.0,29655.73046875,29393.259765625,7812038639.0
NEAR,1d,2026-09-10,2.406500101089478,2.086982624561761,0.1630931733966723,67.41689883639756,0.7877810772177857,1.959110058828719,15.310020925296952,2.001798391342163,1.9358000755310056,208191072.0,2.543991804122925,2.388882875442505,613413504.0
NEAR,1w,2026-09-07,2.358999967575073,1.892126837386512,0.3670429049125496,59.72699750710611,0.9801286509896016,1.2719851656029049,24.67451552208974,2.1016180515289307,1.861711025238037,885014435.0,2.442351579666138,2.303086996078491,477715552.0
NEO,1d,2026-09-10,2.115927696228027,2.087122982144469,0.0940636770662651,54.1108351679336,-0.9094002881806992,0.3062256864917798,1.3801158019908324,1.9542784690856927,1.9291021823883057,3909422.0,2.206305503845215,2.105045080184937,4319311.0
NEO,1w,2026-09-07,2.195101022720337,2.286503858958223,0.3313426432272283,44.56727515057947,1.521929151262993,-0.2758559397837717,-3.99749319817597,1.993525981903076,1.891160011291504,22452257.0,2.218084096908569,2.14524245262146,3485463.0
NIGHT,1d,2026-09-10,0.02213140204548836,0.02103608754838715,0.001405217100811039,56.58064165675709,0.3273138617295269,0.7794628292447026,5.206835608483619,0.0299659948796033,0.0273140780627727,608809.0,0.02307903580367565,0.02198104187846184,478053.0
NIGHT,1w,2026-09-07,0.0235247071832418,0.0266286598930609,0.0060899737345451,45.81826905317345,0.1571229911500923,-0.5096824461182952,-11.656436044038305,0.0306679997593164,0.0273140780627727,2193772.0,0.0244747810065746,0.0231751780956983,743957.0
NIK,1d,2026-09-10,65270.94921875,65731.69024489935,1352.537387820428,47.05846800054802,-0.4151513793768729,-0.3406493826331999,-0.7009420029102359,68069.8203125,66499.4921875,148900000.0,65270.94921875,64186.6796875,0.0
NIK,1w,2026-09-07,66232.1875,62837.34653570587,3404.105478701747,55.17340894041707,-1.385790062171896,0.984400799388527,5.402584850340703,69078.2109375,66268.6015625,601900000.0,66668.7109375,65600.421875,0.0
NZDUSD,1d,2026-09-10,0.5800464153289795,0.5885457876943893,0.005035992020967034,36.61204559454635,-2.155161669835977,-1.6877255424597903,-1.4441310333229642,0.5849321484565735,0.5834305882453918,0.0,0.5858230590820312,0.5800464153289795,0.0
NZDUSD,1w,2026-09-07,0.5847799181938171,0.5818897490993756,0.0110597125763277,52.73354118278694,0.4419709074951751,0.2473321727633517,0.4966867175293584,0.5849321484565735,0.5834305882453918,0.0,0.5889627933502197,0.5868200063705444,0.0
OIL,1d,2026-09-10,100.1699981689453,88.47542831085376,3.773728233153279,76.1353696177143,2.236644450891859,3.0989433089938507,13.217873121792964,79.58000183105469,77.93000030517578,29474.0,100.879997253418,95.37000274658203,160837.0
